"item","group1","group2","vars","n","mean","sd"
"activity*1","1","LAYING","1",1,27,NA,NA
"activity*2","2","SITTING","1",1,24,NA,NA
"activity*3","3","STANDING","1",1,27,NA,NA
"activity*4","4","WALKING","1",1,22,NA,NA
"activity*5","5","LAYING","2",1,24,NA,NA
"activity*6","6","SITTING","2",1,24,NA,NA
"activity*7","7","STANDING","2",1,31,NA,NA
"activity*8","8","WALKING","2",1,21,NA,NA
"subject1","9","LAYING","1",2,27,1,0
"subject2","10","SITTING","1",2,24,1,0
"subject3","11","STANDING","1",2,27,1,0
"subject4","12","WALKING","1",2,22,1,0
"subject5","13","LAYING","2",2,24,2,0
"subject6","14","SITTING","2",2,24,2,0
"subject7","15","STANDING","2",2,31,2,0
"subject8","16","WALKING","2",2,21,2,0
"tBodyAcc-mean()-X1","17","LAYING","1",3,27,0.198275709666667,0.205944593867808
"tBodyAcc-mean()-X2","18","SITTING","1",3,24,0.245413267708333,0.086018761498475
"tBodyAcc-mean()-X3","19","STANDING","1",3,27,0.279215504074074,0.004525264344466
"tBodyAcc-mean()-X4","20","WALKING","1",3,22,0.279497219090909,0.044364433305955
"tBodyAcc-mean()-X5","21","LAYING","2",3,24,0.284619602083333,0.030786047830819
"tBodyAcc-mean()-X6","22","SITTING","2",3,24,0.278200648333333,0.004779760239875
"tBodyAcc-mean()-X7","23","STANDING","2",3,31,0.277785349354839,0.011282543043391
"tBodyAcc-mean()-X8","24","WALKING","2",3,21,0.274981623333333,0.055927732807909
"tBodyAcc-mean()-Y1","25","LAYING","1",4,27,-0.06364299177037,0.157827663267099
"tBodyAcc-mean()-Y2","26","SITTING","1",4,24,0.010483317304167,0.064228279475127
"tBodyAcc-mean()-Y3","27","STANDING","1",4,27,-0.016138733122222,0.009809532805521
"tBodyAcc-mean()-Y4","28","WALKING","1",4,22,-0.0189618766,0.020199925083849
"tBodyAcc-mean()-Y5","29","LAYING","2",4,24,-0.018986835083333,0.005221229482979
"tBodyAcc-mean()-Y6","30","SITTING","2",4,24,-0.017256820158333,0.009328000953269
"tBodyAcc-mean()-Y7","31","STANDING","2",4,31,-0.018216462303226,0.011640779766638
"tBodyAcc-mean()-Y8","32","WALKING","2",4,21,-0.018809788573333,0.015689472824319
"tBodyAcc-mean()-Z1","33","LAYING","1",5,27,-0.063259651592593,0.125201253928296
"tBodyAcc-mean()-Z2","34","SITTING","1",5,24,-0.09560186625,0.052200081391913
"tBodyAcc-mean()-Z3","35","STANDING","1",5,27,-0.110565526407407,0.012412344754829
"tBodyAcc-mean()-Z4","36","WALKING","1",5,22,-0.115504652181818,0.045047032363015
"tBodyAcc-mean()-Z5","37","LAYING","2",5,24,-0.106227195208333,0.005625841439997
